source,target,weight
king,ladies,2
ladies,princesses,1
princesses,panic,1
panic,ice,1
king,baby,1
baby,puppy,1
puppy,tosses,1
jake,room,1
room,wall,1
wall,ice,1
ice,wildberry,1
huh,wildberry,1
princess,w,1
w,goin',1
goin',slime,1
princess,prisoners,1
prisoners,finn,1
finn,ice,7
king,finn,9
finn,girls,1
girls,prisoners,1
prisoners,jerk,1
jerk,ice,1
king,princesses,2
princesses,jake,2
king,choice,1
choice,marriage,1
marriage,thing,1
thing,finn,1
king,girls,1
girls,ice,1
ladies,shoots,1
shoots,ice,2
ice,lighting,2
lighting,fingers,1
fingers,zzhp,1
zzhp,princesses,1
princesses,mm,1
mm,hm,1
hm,finn,1
sighs,princesses,1
jake,thing,1
thing,slime,1
princess,yay,1
yay,ice,1
king,grumbles,1
grumbles,finn,1
finn,rad,1
rad,ice,1
king,backpack,1
backpack,binoculars,1
binoculars,toothbrush,1
toothbrush,water,1
water,bottle,1
bottle,rope,1
rope,tone,1
tone,sweater,1
sweater,trail,1
mix,flute,1
flute,finn,1
finn,flute,2
flute,ice,1
king,cell,1
cell,finn,1
flute,jake,1
jake,nuts,1
nuts,lock,1
lock,ogre,1
ogre,heart,1
heart,finn,1
finn,darn,1
darn,ice,1
king,dance,1
dance,ice,2
king,try,1
try,princesses,1
princesses,finn,3
finn,key,1
key,hand,2
hand,hah,1
hah,key,1
hand,ice,1
jake,neck,1
neck,finn,1
jake,frozen,1
frozen,finn,1
finn,arms,1
arms,legs,1
legs,ice,1
king,bars,1
bars,ice,1
king,potty,1
potty,bathroom,1
bathroom,finn,1
jake,buddy,1
buddy,princesses,1
finn,princesses,2
princesses,slime,1
princess,weeks,1
weeks,sports,1
sports,behavior,1
behavior,finn,1
princess,fun,2
fun,ice,1
king,fun,2
fun,night,1
night,story,1
story,baby,1
baby,whatsit,1
whatsit,bottle,1
bottle,prince,1
prince,lumpy,1
princesses,way,1
way,princesses,1
princesses,ice,1
fun,name,1
name,piano,1
piano,tune,1
tune,hums,1
hums,ice,1
king,wildberry,1
princess,piano,1
piano,cell,1
cell,wildberry,1
king,hand,1
hand,bars,1
bars,atta,1
atta,princess,1
princess,hand,1
hand,tune,1
tune,wildberry,1
king,i'll,1
i'll,juice,1
juice,wildberry,1
princess,dear,1
dear,tune,1
tune,ice,1
king,instrument,1
instrument,fun,1
fun,finn,1
finn,growls,1
growls,ice,1
king,drums,2
drums,drum,1
drum,solo,1
solo,key,1
key,music,1
music,princesses,1
plan,details,1
details,mind,1
mind,jake,1
jake,sweet,1
sweet,ice,1
drums,laughs,1
laughs,ice,1
finn,stuff,1
stuff,ice,2
king,idea,1
idea,finn,1
finn,idea,1
idea,ice,1
plan,fun,1
fun,stuff,1
king,jail,1
jail,party,1
party,tar,1
tar,fists,1
fists,care,1
care,jake,1
jake,board,1
board,princesses,1
princesses,agreement,1
agreement,jake,1
jake,plan,1
plan,lumpy,1
princess,plan,1
plan,finn,1
finn,point,1
fun,time,1
time,life,1
life,ice,1
room,board,1
board,game,2
game,ice,1
king,way,1
way,fun,1
fun,tray,1
tray,jail,1
cell,ice,1
finn,fun,1
fun,whoopee,1
whoopee,ice,1
room,jake,2
guy,ice,1
finn,dance,1
princess,party,1
finn,wanna,1
wanna,dance,1
king,lumpy,1
princess,whoo,1
whoo,woohoo,1
woohoo,ice,1
king,board,1
game,opens,1
opens,cell,1
cell,door,1
finn,jump,1
jump,princesses,1
princesses,room,1
king,wait,1
wait,shoots,1
lighting,emerald,1
finn,case,1
case,man,1
man,dude,1
dude,life,1
life,experience,1
experience,jake,1
ice,hot,1
whoa,finn,1
finn,head,1
head,man,1
man,princesses,1
princesses,jail,1
jail,ice,1
king,bah,1
bah,finn,1
finn,chances,1
chances,wives,1
wives,finn,1
finn,beard,1
beard,ohh,1
ohh,beard,1
beard,finn,1
finn,roundhouse,1
roundhouse,wall,1
wall,crown,1
crown,consciousness,1
consciousness,dream,1
dream,ice,1
king,space,1
space,beard,1
beard,ice,1
king,people,1
people,user,1
user,beard,1
beard,sighs,1
sighs,husband,1
husband,girls,1
girls,cosmic,1
cosmic,owl,2
owl,cosmic,1
owl,hoo,1
hoo,sociopath,1
sociopath,ice,1
king,laughs,1
laughs,nerd,1
nerd,consciousness,1
consciousness,penguins,1
penguins,star,1
